Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55703895,Anhelo de raíces,May Sarton,"Sarton, May",Mercedes Fernández Cuesta,"=""8416529841""","=""9788416529841""",0,Gallo Nero Ediciones,Hardcover,200,2020,1968,,2025/02/24,to-read,to-read (#11),to-read,,,,0,0
45732,Carta de una desconocida,Stefan Zweig,"Zweig, Stefan",Berta Conill Purgimon,"=""8495359472""","=""9788495359476""",0,Acantilado,Paperback,72,2002,1922,,2025/02/24,to-read,to-read (#10),to-read,,,,0,0
56919,La tregua,Mario Benedetti,"Benedetti, Mario",,"=""9707311169""","=""9789707311169""",0,Punto de Lectura,Paperback,215,2006,1960,,2025/02/24,to-read,to-read (#9),to-read,,,,0,0
48758708,Nuestra parte de noche,Mariana Enriquez,"Enriquez, Mariana",,"=""8433998854""","=""9788433998859""",0,Anagrama,Paperback,672,2021,2019,,2025/02/24,to-read,to-read (#8),to-read,,,,0,0
52201854,Las madres no,Katixa Agirre,"Agirre, Katixa",,"=""849490955X""","=""9788494909559""",0,Tránsito,Paperback,208,2019,2018,,2025/02/24,to-read,to-read (#7),to-read,,,,0,0
6404125,La soledad de los números primos,Paolo Giordano,"Giordano, Paolo",,"=""""","=""9788498382051""",0,Salamandra,Paperback,288,2009,2008,,2025/02/24,to-read,to-read (#6),to-read,,,,0,0
119605,Novela de ajedrez,Stefan Zweig,"Zweig, Stefan",Manuel Lobo Serra,"=""8495359456""","=""9788495359452""",0,Acantilado,Paperback,96,2006,1942,,2025/02/24,to-read,to-read (#5),to-read,,,,0,0
122758113,Pearl,Siân Hughes,"Hughes, Siân",,"=""1911648527""","=""9781911648529""",0,The Indigo Press,Paperback,220,2023,2023,,2025/02/24,to-read,to-read (#4),to-read,,,,0,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",0,Atlantic Monthly Press,Hardcover,224,2023,2023,,2025/02/24,to-read,to-read (#3),to-read,,,,0,0
44289602,El verano en que mi madre tuvo los ojos verdes,Tatiana Țîbuleac,"Țîbuleac, Tatiana",Marian Ochoa de Eribe,"=""""","=""""",5.0,Impedimenta,Paperback,256,2019,2017,2025/01/13,2024/11/27,,,read,,,,1,0
49360952,En la Tierra somos fugazmente grandiosos,Ocean Vuong,"Vuong, Ocean",Jesús Zulaika,"=""8433980599""","=""9788433980595""",0,Anagrama,Paperback,263,2020,2019,,2025/01/08,to-read,to-read (#2),to-read,,,,0,0
181334764,Te di ojos y miraste las tinieblas,Irene Solà,"Solà, Irene",,"=""8433906283""","=""9788433906281""",0,Anagrama,Paperback,176,2024,2023,,2024/11/27,to-read,to-read (#1),to-read,,,,0,0
45286062,Canto jo i la muntanya balla,Irene Solà,"Solà, Irene",,"=""8433915681""","=""9788433915689""",5.0,Anagrama ,Paperback,192,2019,2019,2024/11/27,2024/11/24,,,read,,,,1,0
882088,Un viejo que leía novelas de amor,Luis Sepúlveda,"Sepúlveda, Luis",,"=""8472236552""","=""9788472236554""",4.0,Tusquets,Paperback,144,1993,1988,,2024/11/11,,,read,,,,1,0
53447,El túnel,Ernesto Sabato,"Sabato, Ernesto",Nino Pipia,"=""9871144261""","=""9789871144266""",4.0,Booket,Paperback,158,2003,1948,,2024/11/11,,,read,,,,1,0
16102617,La casa de los espíritus,Isabel Allende,"Allende, Isabel",,"=""""","=""""",5.0,Plaza & Janés/Literaria,Hardcover,380,1982,1982,,2024/09/12,,,read,,,,1,0
